id,date,date_source,title,url,pdf,match_conf,words
kfgbTNWLMJE,2023-09-29,yt_title,"Mohnish Pabrai’s Q&A at Mendoza College of Business - University of Notre Dame on September 29, 2023",https://www.youtube.com/watch?v=kfgbTNWLMJE,20231020_mohnish_pabrais_q_a_at_the_mendoza_college_of_business_notre_dame_on_september_29_2023.pdf,date+kw,8541
w9oC1rPV5yQ,2023-10-10,yt_title,"Mohnish Pabrai's conversation at Schroders - The Value Perspective podcast on October 10, 2023",https://www.youtube.com/watch?v=w9oC1rPV5yQ,20231206_mohnish_pabrais_conversation_at_schroders_the_value_perspective_podcast_on_oct_10_2023.pdf,date+kw,9653
jZKOk-hlo8I,2023-10-12,yt_title,"Mohnish Pabrai's Q&A Session at Boston College, Carroll School of Management on October 12, 2023",https://www.youtube.com/watch?v=jZKOk-hlo8I,20231211_mohnish_pabrais_q_a_with_boston_college_carroll_school_of_management_on_oct_12_2023.pdf,date+kw,14434
EzMWPRx9-CY,2023-10-17,yt_title,"Mohnish Pabrai's Talk at the YPO Waterloo Austin on October 17, 2023",https://www.youtube.com/watch?v=EzMWPRx9-CY,20231204_mohnish_pabrais_talk_at_the_ypo_waterloo_austin_on_october_17_2023.pdf,date+kw,8501
IJwOjG5gwAw,2023-11-13,yt_title,"Mohnish Pabrai's Q&A at Clemson University - Wall Street South Investment Club on November 13, 2023",https://www.youtube.com/watch?v=IJwOjG5gwAw,20231221_mohnish_pabrais_q_a_at_clemson_university_on_november_13_2023.pdf,date+kw,6070
0qxxVBKd8CI,2023-11-21,yt_title,"Mohnish Pabrai's Q&A at Oxford University - Oxford Alpha Fund on November 21, 2023",https://www.youtube.com/watch?v=0qxxVBKd8CI,20231228_mohnish_pabrais_q_a_with_oxford_university_-_oxford_alpha_fund_on_november_21_2023.pdf,date+kw,7733
gghOEu8u6pE,2023-12-01,yt_title,"Mohnish Pabrai's Interview at Morningstar, The Investor's Mind on December 1, 2023",https://www.youtube.com/watch?v=gghOEu8u6pE,20240130_mohnish_pabrai’s_interview_at_morningstar_the_investors_mind_on_december_1_2023.pdf,date+kw,5228
A2vC2skCjCs,2023-12-25,yt_title,"Mohnish Pabrai's Presentation and Q&A at FLAME University on December 25, 2023",https://www.youtube.com/watch?v=A2vC2skCjCs,20240212_mohnish_pabrais_presentation_and_q_a_at_the_flame_university_on_december_25_2023.pdf,date+kw,19467
1xpY7-uyPqo,2024-01-30,yt_title,"Mohnish Pabrai's Q&A at London School of Economics on January 30, 2024",https://www.youtube.com/watch?v=1xpY7-uyPqo,20240219_mohnish_pabrais_q_a_with_london_school_of_economics_on_january_30_2024.pdf,date+kw,7693
mi134c5X3ps,2024-02-08,yt_title,"Mohnish Pabrai's Session at the SumZero Virtual Investor Summit 2024 on February 8, 2024",https://www.youtube.com/watch?v=mi134c5X3ps,20240308_mohnish_pabrais_session_at_the_sumzero_virtual_investor_summit_2024_on_feb_8_2024_v2.pdf,date+kw,7918
